Feature,Normalized.Dispersion
ENSG00000162444,9.486078662277253
ENSG00000130939,-0.5644633051319559
ENSG00000054523,1.4440757684785457
ENSG00000284735,-0.9371790358805049
ENSG00000284642,0.13270672425992336
ENSG00000142657,5.968637178049937
ENSG00000175279,0.011917343810705973
ENSG00000241563,-0.5217640837419447
ENSG00000160049,0.40531638680800164
ENSG00000203469,NaN
ENSG00000142655,-1.5781170786990013
ENSG00000130940,0.7828222453664709
ENSG00000272078,0.01783030763975281
ENSG00000175262,1.2797864030345245
ENSG00000120948,-0.3618255318649524
ENSG00000009724,-0.0768168683323976
ENSG00000271895,-0.2601067661884744
ENSG00000116649,-2.386444568454479
ENSG00000171824,-1.50286722770316
ENSG00000226849,-0.2767861961603341
ENSG00000230337,-1.5418967057736215
ENSG00000198793,-1.172687476158901
ENSG00000120942,-0.5523663504182817
ENSG00000204624,NaN
ENSG00000284708,-0.022298164139123427
ENSG00000116661,-0.8789750762013646
ENSG00000132879,-0.7223892582574151
ENSG00000116663,-1.7928941843109694
ENSG00000116670,-1.2831504399709501
ENSG00000162490,2.1671892482274866
ENSG00000177674,2.659454198179552
ENSG00000215910,-0.167298310623921
ENSG00000177553,NaN
ENSG00000177000,0.5303106597726568
ENSG00000011021,4.496963281871172
ENSG00000285646,0.7868771423283618
ENSG00000116685,3.6020676946391683
ENSG00000083444,-1.522047160291666
ENSG00000116688,5.370361483285445
ENSG00000116691,2.3022574505715583
ENSG00000120949,-1.0343960097685663
ENSG00000028137,4.293707911299096
ENSG00000048707,-0.7988823491835948
ENSG00000162496,9.800603688026493
ENSG00000272482,16.288585699412522
ENSG00000116731,0.5219198582501341
ENSG00000189337,NaN
ENSG00000175147,-2.9832445819541893
ENSG00000171729,-1.5389542544518493
ENSG00000142621,0.3927131677939656
ENSG00000228140,1.2545926522472854
ENSG00000142634,3.732628099737969
ENSG00000162438,NaN
ENSG00000132906,5.980994823043632
ENSG00000116138,1.748004065656932
ENSG00000272510,NaN
ENSG00000116771,-1.4162893342723613
ENSG00000237301,-0.5006977050556125
ENSG00000197312,-0.3253246218126481
ENSG00000271742,-0.5975982384733616
ENSG00000116786,-0.12056487881470287
ENSG00000162461,0.7393586422235778
ENSG00000162458,0.43768257751124257
ENSG00000233954,-0.7073140130258995
ENSG00000179743,-1.2413593554578395
ENSG00000065526,0.198132397089081
ENSG00000116809,3.8822005011750913
ENSG00000183888,NaN
ENSG00000185519,NaN
ENSG00000142627,0.5444992538931264
ENSG00000142632,-0.6147872571561324
ENSG00000288398,0.04141666506247835
