Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000187583,PLEKHN1,0.005399899075819569,0.0899567166307369,1,0.005285328374443336,0.22240278998299257,1,0,0.08624945102616977,1
ENSG00000187642,PERM1,0.00033749369223872307,-0.412543623898447,1,0,0.7249031305121765,1,0,3.545681069663467,1
ENSG00000272512,AL645608.7,0,-2.997506124619603,0.17901317770292077,0.0021141313497773343,3.3098656312333326,0.14440192589823161,0,2.960718568942311,1
ENSG00000188290,HES4,0.011474785536116585,-3.077676473303587,0.00000000000000011762625376013892,0.11522015856286473,3.336337842594523,0.00000000000000000050124539950096255,0.006009077287138304,-1.624243931778845,0.468129927337995
ENSG00000187608,ISG15,0.37326802361602773,-0.34449823647534816,0.32193201631127816,0.5539024136416616,0.6447327818281928,0.04025394359032409,0.018027231861414913,-4.125859997048417,0.001272681978418602
ENSG00000188157,AGRN,0.0023624558456710617,-0.9975061246196031,0.5514989993422288,0.005285328374443336,1.3098656312333317,0.36904338130666464,0,0.8452413515223745,1
ENSG00000131591,C1orf159,0.015862203535219985,0.17241887682270995,1,0.013741853773552673,-0.11159813720494505,1,0.012018154574276609,0.19990623282173647,1
ENSG00000285812,AL390719.3,0.0006749873844774461,0.17241887682270907,1,0,0.1399406297910204,1,0,2.960718568942311,1
ENSG00000223823,LINC01342,0.00033749369223872307,-0.412543623898447,1,0,0.7249031305121765,1,0,3.545681069663467,1
ENSG00000162571,TTLL10,0.0010124810767161692,0.587456376101553,0.790604453640279,0,-0.2750968694878235,1,0,2.545681069663467,1
ENSG00000186891,TNFRSF18,0.06513628260207355,4.602406717567525,0.00000000000018020422920177956,0.0010570656748886671,-4.882427183237434,0.0000000000070459701264556474,0.006009077287138304,-2.0616492440861434,0.21308004246267523
ENSG00000186827,TNFRSF4,0.07593608075371269,4.085707243629378,0.00000000000008357122566634874,0.0031711970246660016,-4.101645356778739,0.0000000000070053906254556645,0.006009077287138304,-2.2935227184334774,0.13214227864937234
ENSG00000078808,SDF4,0.23017069810680912,-0.14146009844023855,0.7851172790827426,0.29175012626927216,0.41028512385707305,0.259013307463493,0.036054463722829826,-2.5523510132970593,0.03137675850811372
