Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000238009,AL627309.1,0.0024535023790148184,0.5596692759734037,0.931193461062211,0.0009369260398515787,-0.5596692759734037,0.931193461062211
ENSG00000241860,AL627309.5,0.007360507137044455,-1.4899614917511972,0.011937829354720956,0.02061237287673473,1.4899614917511972,0.011937829354720956
ENSG00000241599,AL627309.4,0.0003066877973768523,-0.6102557254689085,1,0,0.6102557254689085,1
ENSG00000237491,LINC01409,0.043856355024889875,-1.2085150488035232,0.0004564570150720994,0.1011880123039705,1.2085150488035232,0.0004564570150720994
ENSG00000177757,FAM87B,0,-3.1952182261900646,0.15708211725071541,0.0018738520797031573,3.1952182261900646,0.15708211725071541
ENSG00000228794,LINC01128,0.028828652953424114,0.500168264224742,0.4471325050268593,0.019675446836883152,-0.500168264224742,0.4471325050268593
ENSG00000225880,LINC00115,0.005520380352783341,-0.3623282120253233,0.8983498253892733,0.006558482278961051,0.3623282120253233,0.8983498253892733
ENSG00000230368,FAM41C,0.012574199692450943,0.61213669586754,0.5298980986122037,0.007495408318812629,-0.61213669586754,0.5298980986122037
ENSG00000230699,AL645608.2,0.0006133755947537046,-0.02529322474775242,1,0,0.02529322474775242,1
ENSG00000187634,SAMD11,0,-2.6102557254689085,0.4471325050268593,0.0009369260398515787,2.6102557254689085,0.4471325050268593
ENSG00000188976,NOC2L,0.1748120445048058,-0.37177202738066084,0.3359830724614954,0.22579917560423046,0.37177202738066084,0.3359830724614954
ENSG00000187961,KLHL17,0.005213692555406489,-1.140770442167689,0.2874295359119643,0.011243112478218945,1.140770442167689,0.2874295359119643
ENSG00000187583,PLEKHN1,0.004907004758029637,-0.10775538493972636,1,0.0046846301992578936,0.10775538493972636,1
ENSG00000187642,PERM1,0.0003066877973768523,-0.6102557254689085,1,0,0.6102557254689085,1
ENSG00000272512,AL645608.7,0,-3.1952182261900646,0.15708211725071541,0.0018738520797031573,3.1952182261900646,0.15708211725071541
ENSG00000188290,HES4,0.010427385110812978,-4.700141228986104,0.00000000000000000000000000000000003982095645158467,0.2782670338359189,4.700141228986104,0.00000000000000000000000000000000003982095645158467
ENSG00000187608,ISG15,0.33459638693814586,-0.8750505891671402,0.003209538616499754,0.6136865561027841,0.8750505891671402,0.003209538616499754
ENSG00000188157,AGRN,0.0006133755947537046,-3.0252932247477515,0.006986170256349277,0.006558482278961051,3.0252932247477515,0.006986170256349277
ENSG00000237330,RNF223,0.0003066877973768523,-0.6102557254689085,1,0,0.6102557254689085,1
ENSG00000131591,C1orf159,0.012267511895074091,-0.3401665621011647,0.7505353364109828,0.014990816637625259,0.3401665621011647,0.7505353364109828
ENSG00000285812,AL390719.3,0,-3.1952182261900646,0.16078452627874468,0.0018738520797031573,3.1952182261900646,0.16078452627874468
ENSG00000223823,LINC01342,0.0009200633921305569,0.3897442745310915,1,0,-0.3897442745310915,1
ENSG00000162571,TTLL10,0.0015334389868842614,0.9747067752522476,0.5832222415104172,0,-0.9747067752522476,0.5832222415104172
ENSG00000186891,TNFRSF18,0.06501781304389269,4.539491394035773,0.000000000004588944535416665,0.0018738520797031573,-4.539491394035773,0.000000000004588944535416665
ENSG00000186827,TNFRSF4,0.05857736929897879,4.389744274531091,0.000000000008421448739118594,0.0018738520797031573,-4.389744274531091,0.000000000008421448739118594
ENSG00000078808,SDF4,0.22848240904575495,-0.25209924812195506,0.5468655911960613,0.27170855155695783,0.25209924812195506,0.5468655911960613
ENSG00000176022,B3GALT6,0.05029679876980377,-0.4138585126654051,0.4074948900943902,0.06652174882946209,0.4138585126654051,0.4074948900943902
ENSG00000184163,C1QTNF12,0.003066877973768523,-1.3207491082739233,0.34286972869826865,0.007495408318812629,1.3207491082739233,0.34286972869826865
ENSG00000260179,AL162741.1,0.0012267511895074092,-2.458252632023858,0.02472157074950124,0.007495408318812629,2.458252632023858,0.02472157074950124
ENSG00000160087,UBE2J2,0.134942630845815,-0.24347339479728625,0.5874070994924387,0.1592774267747684,0.24347339479728625,0.5874070994924387
ENSG00000230415,LINC01786,0.0003066877973768523,-1.6102557254689085,0.6649933668744082,0.0009369260398515787,1.6102557254689085,0.6649933668744082
ENSG00000162572,SCNN1D,0.004600316960652784,-0.4176106475265131,0.869330584522546,0.0056215562391094724,0.4176106475265131,0.869330584522546
ENSG00000131584,ACAP3,0.034349033306207456,-1.8344708824121745,0.00000003139495628674693,0.12273731122055681,1.8344708824121745,0.00000003139495628674693
ENSG00000169972,PUSL1,0.03066877973768523,-0.41147586135441117,0.45528782452059896,0.04028781971361788,0.41147586135441117,0.45528782452059896
ENSG00000127054,INTS11,0.11838148978746499,-0.46527708115682787,0.2190366234501813,0.1630251309341747,0.46527708115682787,0.2190366234501813
ENSG00000240731,AL139287.1,0.0003066877973768523,-1.6102557254689085,0.6649933668744082,0.0009369260398515787,1.6102557254689085,0.6649933668744082
ENSG00000224051,CPTP,0.03066877973768523,0.6556383345041255,0.31097729745920233,0.018738520797031574,-0.6556383345041255,0.31097729745920233
ENSG00000169962,TAS1R3,0.0012267511895074092,-0.8732901313027028,0.8756725658778989,0.0018738520797031573,0.8732901313027028,0.8756725658778989
ENSG00000107404,DVL1,0.013494263084581501,-1.4759546337573175,0.0014679317153867384,0.03747704159406315,1.4759546337573175,0.0014679317153867384
ENSG00000162576,MXRA8,0.005213692555406489,2.5596692759734028,0.047371293286465194,0,-2.5596692759734028,0.047371293286465194
