Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000160075,SSU72,0.5299830498473108,-0.17978184241551876,0.6690079445846545,0.6001871736320986,0.17978184241551876,0.6690079445846545
ENSG00000215014,AL645728.1,0.059172864788777424,-0.03921235858579486,1,0.060421527546855563,0.03921235858579486,1
ENSG00000228594,FNDC10,0.010033659681575302,-1.8685935869733985,0.000005903912458818509,0.03692426683418951,1.8685935869733985,0.000005903912458818509
ENSG00000286989,AL691432.4,0.0012863666258429874,-1.6055591811396042,0.20875741040531706,0.004028101836457037,1.6055591811396042,0.20875741040531706
ENSG00000272106,AL691432.2,0.030358252369894506,-0.04293784817284951,1,0.030882114079503954,0.04293784817284951,1
ENSG00000197530,MIB2,0.11886027622789204,1.0122700048197832,0.005114346958543539,0.058407476628627046,-1.0122700048197832,0.005114346958543539
ENSG00000189409,MMP23B,0.022125505964499383,2.0597767360455723,0.0013002457307685323,0.004699452142533211,-2.0597767360455723,0.0013002457307685323
ENSG00000248333,CDK11B,0.08927384383350333,-0.00631245441220063,1,0.089289590708131,0.00631245441220063,1
ENSG00000272004,FO704657.1,0.000514546650337195,-1.7982042590820004,0.28718304198916184,0.0020140509182285187,1.7982042590820004,0.28718304198916184
ENSG00000189339,SLC35E2B,0.06894925114518413,0.42150906205856664,0.39164238141711144,0.05102262326178914,-0.42150906205856664,0.39164238141711144
ENSG00000008128,CDK11A,0.16877130131059995,0.3041574585476776,0.5165167501729899,0.13628411213346311,-0.3041574585476776,0.5165167501729899
ENSG00000215790,SLC35E2A,0.041678278677312795,0.6436332995405589,0.18075505910325781,0.026182661936970743,-0.6436332995405589,0.18075505910325781
ENSG00000008130,NADK,0.040906458701807,-3.241147754930729,0.00000000000000000000000000000008046179033572874,0.38871182721810416,3.241147754930729,0.00000000000000000000000000000008046179033572874
ENSG00000078369,GNB1,0.30744162357647403,-1.4697778672645792,0.000000016491580838595822,0.8519435384106635,1.4697778672645792,0.00000001649158083859711
ENSG00000231050,AL109917.1,0.0023154599265173773,1.9387613350842052,0.18050104085460048,0,-1.9387613350842052,0.18050104085460048
ENSG00000169885,CALML6,0.0002572733251685975,-0.3831667598031565,1,0,0.3831667598031565,1
ENSG00000178821,TMEM52,0.0007718199755057924,-0.9681292605243126,0.8374562592721854,0.0013427006121523458,0.9681292605243126,0.8374562592721854
ENSG00000142609,CFAP74,0.0012863666258429874,-0.3831667598031565,1,0.0013427006121523458,0.3831667598031565,1
ENSG00000233542,AL391845.2,0.0002572733251685975,-0.3831667598031565,1,0,0.3831667598031565,1
ENSG00000187730,GABRD,0.000514546650337195,0.20179574091799957,1,0,-0.20179574091799957,1
ENSG00000067606,PRKCZ,0.021353685988993593,1.6872225680882416,0.008856145142610428,0.0060421527546855565,-1.6872225680882416,0.008856145142610428
ENSG00000271806,AL590822.2,0.005660013153709145,0.14039519625385743,1,0.004699452142533211,-0.14039519625385743,1
ENSG00000182873,PRKCZ-AS1,0.0018009132761801826,0.6168332401968435,0.7034686951352886,0.0006713503060761729,-0.6168332401968435,0.7034686951352886
ENSG00000162585,FAAP20,0.24055055903263867,-0.3265832314367887,0.3684542197290006,0.30143628742820167,0.3265832314367887,0.3684542197290006
ENSG00000157933,SKI,0.09184657708518931,0.5460601657834627,0.21373674748056454,0.06243557846508408,-0.5460601657834627,0.21373674748056454
ENSG00000287356,AL590822.3,0.0015436399510115849,-0.16077433846670885,1,0.0013427006121523458,0.16077433846670885,1
ENSG00000116151,MORN1,0.006946379779552133,1.1022600673670855,0.21769314686829636,0.0026854012243046916,-1.1022600673670855,0.21769314686829636
ENSG00000272420,AL513477.2,0.00205818660134878,-0.21324175836084436,1,0.0020140509182285187,0.21324175836084436,1
ENSG00000157916,RER1,0.18395042749554721,-0.8300883201017859,0.004008983610665868,0.3269475990590962,0.8300883201017859,0.004008983610665868
