Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000238009,AL627309.1,0.0008330377474872668,-1.6050982818858799,0.27369065787903013,0.00340122932701237,1.9943168808518026,0.11364254926862505,0,0.8805650029808039,1
ENSG00000241860,AL627309.5,0.004442867986598756,-1.7906539350419575,0.0010859412045458035,0.01904688423126927,2.1798725340078793,0.00008306205679553838,0,-1.4413630919065579,0.44830412266606
ENSG00000241599,AL627309.4,0.0005553584983248445,0.5648267195564323,1,0,-0.17560812059050868,1,0,2.46552750370196,1
ENSG00000286448,AP006222.2,0,-2.020135781164724,0.5190982458442098,0,0.4093543801306474,1,0.00327742057332751,5.050490004423119,0.1356102288732653
ENSG00000229905,AL669831.2,0.00027767924916242227,-0.02013578116472381,1,0,0.4093543801306474,1,0,3.050490004423118,1
ENSG00000237491,LINC01409,0.03554294389279005,-0.8543985766858455,0.014174381075258365,0.07618753692507708,1.1961103410083842,0.00038706761653856375,0.00655484114665502,-2.277436831085687,0.03887917898078205
ENSG00000177757,FAM87B,0,-3.020135781164724,0.22687723976872018,0.002040737596207422,3.4093543801306474,0.17696496189691407,0,2.050490004423118,1
ENSG00000228794,LINC01128,0.028878641912891915,0.7399134261145228,0.13218153251809717,0.01904688423126927,-0.4741316111429281,0.4556280723535911,0.00655484114665502,-1.419829930356916,0.3089983963279264
ENSG00000225880,LINC00115,0.009441094471522356,0.30179231372263793,0.7979746744929039,0.008162950384829688,-0.060130903170573013,1,0.00327742057332751,-0.5040988472545198,1
ENSG00000230368,FAM41C,0.00860805672403509,0.6579361239479136,0.46497204025141203,0.005441966923219792,-0.4651147377854947,0.7021154227554222,0.00327742057332751,-0.27143809046424394,1
ENSG00000230699,AL645608.2,0,-2.020135781164724,0.5190982458442098,0.000680245865402474,2.4093543801306474,0.4733146057945429,0,3.050490004423118,1
ENSG00000241180,AL645608.4,0,-2.020135781164724,0.5190982458442098,0.000680245865402474,2.4093543801306474,0.4733146057945429,0,3.050490004423118,1
ENSG00000187634,SAMD11,0,-2.020135781164724,0.5190982458442098,0.000680245865402474,2.4093543801306474,0.4733146057945429,0,3.050490004423118,1
ENSG00000188976,NOC2L,0.157166455025931,-0.14439388412687038,0.7585551441509863,0.20611449721694963,0.49741055679584356,0.13622007272481823,0.01638710286663755,-3.1294190855918167,0.0009202597434225828
ENSG00000187961,KLHL17,0.0074973397273854015,-0.7363428151641331,0.2842397172458106,0.014285163173451954,1.010805003640372,0.11853925614503423,0.00327742057332751,-0.5642198396920906,0.9761755716351569
ENSG00000187583,PLEKHN1,0.003054471740786645,-1.7571013753309304,0.006978786821792268,0.012924671442647006,2.146319974296853,0.0007994907646106042,0,-0.903706305963758,0.7891854155833496
ENSG00000188290,HES4,0.006941981229060557,-3.770907174855961,0.0000000000000000000002509960139234358,0.11700228884922553,4.036627685709767,0.00000000000000000000000014202681686585354,0.00655484114665502,-1.9939041149353356,0.1465751133979536
ENSG00000187608,ISG15,0.3279391932608207,-0.6075373273372981,0.043589900544893964,0.6006570991503846,0.9853686449760749,0.0006329714300947538,0.01310968229331004,-4.639507966996328,0.000010149239488136149
ENSG00000188157,AGRN,0.0013883962458121114,-0.43517328044356773,0.9381189775888339,0.002040737596207422,0.8243918794094913,0.7237167714657036,0,0.8805650029808039,1
ENSG00000131591,C1orf159,0.009996452969847202,-0.6686634106633473,0.2845274084325372,0.018366638365866796,0.968781788744665,0.08271497457300785,0.00327742057332751,-0.9495099955768822,0.6309431116532654
ENSG00000285812,AL390719.3,0.0005553584983248445,0.5648267195564323,1,0,-0.17560812059050868,1,0,2.46552750370196,1
ENSG00000223823,LINC01342,0.0005553584983248445,0.5648267195564323,1,0,-0.17560812059050868,1,0,2.46552750370196,1
ENSG00000162571,TTLL10,0.001110716996649689,1.301792313722638,0.5190982458442098,0,-0.9125737147567143,0.8026632970607935,0,1.7285619095357543,1
ENSG00000186891,TNFRSF18,0.038597415633576694,4.5241847350590865,0.0000000000008666417788971476,0.001360491730804948,-4.134966136093163,0.0000000004867046191749379,0,-3.0992571150815653,0.03036407950230566
ENSG00000186827,TNFRSF4,0.052759057340860234,3.7499381248134203,0.00000000000007141854282648216,0.00340122932701237,-3.5906456198693526,0.00000000005725824491634917,0.00327742057332751,-2.5642198396920906,0.029133784072435893
ENSG00000078808,SDF4,0.20770407837349186,-0.08602371682118193,0.8937496130090111,0.26121441231455,0.4358265914918382,0.1913559856320204,0.02294194401329257,-3.0954421413973976,0.0006643491277431571
ENSG00000176022,B3GALT6,0.04498403836431241,-0.13083924557094395,0.8669939765175874,0.05850114442461277,0.49474587136129156,0.22942604536152994,0.00327742057332751,-2.909511927644963,0.011405675874795814
ENSG00000184163,C1QTNF12,0.0019437547441369558,-1.0201357811647238,0.4767599620942423,0.004761721057817318,1.4093543801306465,0.18813040529272632,0,0.1435994088145982,1
