Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000238164,TNFRSF14-AS1,0.024605094296181386,1.5604990883500722,0.033628336655338376,0.00739945972422067,-1.5604990883500722,0.033628336655338376
ENSG00000157873,TNFRSF14,0.40454609583072254,-0.29728557098415,0.4356153565486608,0.4968208671976736,0.29728557098415,0.4356153565486608
ENSG00000228037,AL139246.3,0.005751840225081363,1.5230243829314087,0.26461761241488596,0.0010570656748886671,-1.5230243829314087,0.26461761241488596
ENSG00000157870,PRXL2B,0.02300736090032545,-0.17893476140688325,0.9387503955123445,0.025369576197328013,0.17893476140688325,0.9387503955123445
ENSG00000142606,MMEL1,0.0031954667917118685,-1.9659112300159718,0.01086180288238932,0.012684788098664006,1.9659112300159718,0.01086180288238932
ENSG00000215912,TTC34,0.005751840225081363,0.5230243829314096,0.7251022642073449,0.0031711970246660016,-0.5230243829314096,0.7251022642073449
ENSG00000130762,ARHGEF16,0.0003195466791711868,-0.7249031305121765,1,0,0.7249031305121765,1
ENSG00000162591,MEGF6,0.032593761275461056,0.961597396671042,0.11109276285342413,0.01585598512333001,-0.961597396671042,0.11109276285342413
ENSG00000238260,AL513320.1,0.0009586400375135605,-0.7249031305121765,1,0.0010570656748886671,0.7249031305121765,1
ENSG00000158109,TPRG1L,0.09650309710969843,-0.05158475537017315,1,0.09936417343953471,0.05158475537017315,1
ENSG00000116213,WRAP73,0.06902208270097636,-0.4062953939164249,0.3779589759598678,0.09090764804042538,0.4062953939164249,0.3779589759598678
ENSG00000078900,TP73,0.0009586400375135605,0.2750968694878235,1,0,-0.2750968694878235,1
ENSG00000235169,SMIM1,0.0169359739960729,0.12309377604277394,1,0.01479891944844134,-0.12309377604277394,1
ENSG00000130764,LRRC47,0.07157845613434585,-1.2686739439132229,0.00004345401497383363,0.17230170500685277,1.2686739439132229,0.00004345401497383363
ENSG00000272153,AL365330.1,0.0003195466791711868,-0.7249031305121765,1,0,0.7249031305121765,1
ENSG00000116198,CEP104,0.05655976221330007,-0.9634152172119008,0.005692045718365517,0.10993483018842139,0.9634152172119008,0.005692045718365517
ENSG00000169598,DFFB,0.022687814221154266,0.5381312753216179,0.5170328403595026,0.01479891944844134,-0.5381312753216179,0.5170328403595026
