Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000230415,LINC01786,0.0003287272935501959,-1.2415776743321985,0.7219392361617819,0.0009398194261478648,1.6161526763577196,0.6650911301548919,0,2.618706751384088,1
ENSG00000162572,SCNN1D,0.004930909403252938,-0.048932596389803074,1,0.005638916556887188,0.42350759841532426,0.8680459035236973,0,-0.25576236653205253,1
ENSG00000131584,ACAP3,0.03616000229052155,-1.5132509984398652,0.000004285005887743331,0.12311634482537029,1.8403678333009865,0.000000023333957488070048,0.009013247492881018,-2.130231484448193,0.08086678456649045
ENSG00000169972,PUSL1,0.032872729355019586,-0.04279781021770113,1,0.040412235324358184,0.4173728122432223,0.45512146956607197,0,-2.9662557493370683,0.042575157577190235
ENSG00000127054,INTS11,0.12623128072327522,-0.12046858883293243,0.828480868377671,0.16352858014972846,0.47117403204563857,0.2092403083507538,0.009013247492881018,-3.338072720016789,0.00249976667165989
ENSG00000240731,AL139287.1,0.0003287272935501959,-1.2415776743321985,0.7219392361617819,0.0009398194261478648,1.6161526763577196,0.6650911301548919,0,2.618706751384088,1
ENSG00000224051,CPTP,0.032872729355019586,1.0243163856408355,0.0427918222122743,0.018796388522957296,-0.6497413836153143,0.3105103779245849,0,-2.71519398516935,0.06320464294853215
ENSG00000169962,TAS1R3,0.0013149091742007835,-0.5046120801659928,1,0.0018796388522957295,0.879187082191514,0.8749314826918367,0,1.3963143300476402,1
ENSG00000107404,DVL1,0.014464000916208619,-1.1072765826206075,0.019645726246811678,0.036652957619766724,1.41451881518807,0.002187874610998595,0.004506623746440509,-1.188648170673516,0.5693784121257398
ENSG00000162576,MXRA8,0.0055883639903533296,2.9283473271101137,0.016346634475028547,0,-2.5537723250845925,0.04781436942617085,0,0.03374425066293174,1
ENSG00000175756,AURKAIP1,0.448055301108917,-0.17667789953910373,0.6680333589335162,0.6061835298653727,0.5315828532037561,0.09777911000997135,0.02703974247864305,-3.9612376745704427,0.00008875142264525777
ENSG00000221978,CCNL2,0.20512583117532224,0.03490744979399629,1,0.23589467596311406,0.2919364048750879,0.4728854606899805,0.02703974247864305,-2.7637628854383243,0.005756938114190306
ENSG00000224870,MRPL20-AS1,0.031557820180818805,0.6578954497138367,0.2450891417700808,0.022555666227548753,-0.35470097798276257,0.6650911301548919,0.004506623746440509,-1.7151939851693498,0.23817401766533328
ENSG00000242485,MRPL20,0.35502547703421156,-0.25882388939010514,0.5014648461646407,0.5056228512675512,0.601505900393319,0.05542113402778102,0.03605298997152407,-3.2872930167550085,0.0007044223344780499
